S,B,latency,"memory, mb",energy,"memory_calculated, mb"
32,1,0.0006423024460673332,12.16,0.013619964784830806,4.07
32,2,0.000634482828900218,12.23,0.013635044375890866,4.17
32,4,0.0006259437650442123,12.36,0.013694843787252902,4.37
32,8,0.0006655298639088869,12.63,0.013636975704431533,4.78
32,16,0.0006893733516335487,18.48,0.020489649850549175,5.59
32,32,0.0006429359782487154,14.23,0.0135988977320306,7.22
32,64,0.000641487305983901,16.36,0.013610977195026353,10.47
32,128,0.0008932612836360931,20.62,0.027277454262776297,16.97
32,256,0.0015296300407499075,29.77,0.04750094650698825,29.97
32,512,0.002491075312718749,46.19,0.13968606785181908,55.97
32,77,0.0006447250489145517,17.4,0.02540903689193539,11.79
32,69,0.0006408414337784052,16.71,0.025331516732107852,10.98
32,63,0.000654174480587244,16.3,0.025289019126016648,10.37
64,1,0.0006399163976311684,12.38,0.025335046957144513,4.37
64,2,0.0006297039799392223,12.63,0.032825224675359206,4.78
64,4,0.0006265100091695786,13.16,0.03526878640134819,5.59
64,8,0.0006333985365927219,14.22,0.035576234719064084,7.22
64,16,0.0006317347288131714,16.35,0.03581915408531204,10.47
64,32,0.0008418175857514143,20.6,0.05297627397417091,16.97
64,64,0.0013968702405691147,29.73,0.10595207224921323,29.97
64,128,0.002390233101323247,46.12,0.19334019812755288,55.97
64,256,0.004385625012218952,80.14,0.3629944965940621,107.97
64,512,0.008375061675906181,148.19,0.9911916443779506,211.97
64,77,0.0016241136472672224,32.74,0.19039860701588915,35.25
64,69,0.0014280234463512897,30.45,0.1643293696318753,32.0
64,63,0.0013943095691502094,29.62,0.164318201723136,29.56
128,1,0.0006476212292909622,13.18,0.05472960810968653,5.59
128,2,0.0006330709438771009,14.22,0.05379495679264888,7.22
128,4,0.0006306723225861788,16.34,0.04999118107857183,10.47
128,8,0.0008257869631052017,20.6,0.07594587150134148,16.97
128,16,0.0013783962931483984,29.72,0.1503575995208882,29.97
128,32,0.0023374087177217007,46.1,0.23039297445326112,55.97
128,64,0.004215525463223457,80.11,0.4104959447309375,107.97
128,128,0.008017131825909019,148.12,0.886997740106266,211.97
128,256,0.015500728040933609,284.14,2.106850909185521,419.97
128,512,0.030337936943396926,556.19,4.285168085223068,835.97
128,77,0.004890005802735686,94.85,0.6630967422501929,129.09
128,69,0.004392994334921241,87.19,0.5546464964649639,116.09
128,63,0.0041390161495655775,80.0,0.5118823636268824,106.34
224,1,0.0007463626097887754,15.37,0.07996628311113455,8.95
224,2,0.0007475842721760273,18.6,0.08002418126910925,13.92
224,4,0.001091392245143652,25.11,0.1337142394273542,23.87
224,8,0.0019143219105899334,38.13,0.21757684770176192,43.78
224,16,0.003289246466010809,64.6,0.3638669361012429,83.59
224,32,0.0060254589188843966,117.23,0.6589495179599618,163.22
224,64,0.0117886399384588,221.36,1.5911638043760927,322.47
224,128,0.023991878144443035,430.12,3.4357597943177116,640.97
224,256,0.04542105947621167,846.14,6.53667040359961,1277.97
224,512,0.08987400261685252,1678.19,13.00219412804558,2551.97
224,77,0.015066777355968952,263.46,2.129087300500395,387.16
224,69,0.013367513893172145,237.37,1.9080859373491676,347.35
224,63,0.012441145023331046,217.12,1.7621068817342442,317.49
256,1,0.0006340586114674807,16.37,0.05875956602908671,10.47
256,2,0.000822040718048811,20.59,0.0851200588437915,16.97
256,4,0.0013849195092916489,29.72,0.17049257429271936,29.97
256,8,0.002364691346883774,46.1,0.31300002284877004,55.97
256,16,0.0042510912753641605,80.1,0.4852994780445471,107.97
256,32,0.007980135036632419,148.1,0.9502570838944706,211.97
256,64,0.0153123929630965,284.11,2.1068377197837505,419.97
256,128,0.029760812409222126,556.12,4.210430276392279,835.97
256,256,0.059243604773655534,1100.14,8.738797690478172,1667.97
256,512,0.11730595282278955,2188.19,17.358252272230057,3331.97
256,77,0.017935872310772538,340.79,2.590528326961291,504.47
256,69,0.0161677326541394,306.62,2.31843694788415,452.47
256,63,0.01473218691535294,282.12,2.10444351897317,413.47
384,1,0.0008670378010720015,21.74,0.08981655216640792,18.59
384,2,0.0015309774316847324,31.22,0.20908278431282376,33.22
384,4,0.0025820753071457148,50.34,0.3408919238980394,62.47
384,8,0.004701321944594383,89.72,0.5928801328922156,120.97
384,16,0.008842563023790717,166.1,1.1314678692640363,237.97
384,32,0.01696913898922503,318.1,2.438286304831211,471.97
384,64,0.03316489094868302,624.11,4.934119757267605,939.97
384,128,0.06591566768474877,1236.12,9.94564822301501,1875.97
384,256,0.13103922340087593,2460.14,19.94323661768214,3747.97
384,512,0.26064330362714827,4908.19,39.825759405644874,7491.97
384,77,0.039685362949967384,749.41,6.061093120343196,1130.09
384,69,0.03580628917552531,673.06,5.440795129703539,1013.09
384,63,0.03271436761133373,615.31,4.9636725961285455,925.34
512,1,0.001353926956653595,29.74,0.18691236565583386,29.97
512,2,0.002415793715044856,46.09,0.3429355200075638,55.97
512,4,0.004271483980119228,80.09,0.5765117889760714,107.97
